Serviced?,STATION_NO,CONSECUTIVE_DEPLOY_NO,DEPLOYMENT_DATE,RECOVERY_DATE,Recovered?,IN_DATA_SET,Lat_deg,Lat_min,Lon_deg,Lon_min,BOTTOM_DEPTH,VR2_SERIAL_NO,AR_SERIAL_NO,AR_EXPECTED_BATTERY_LIFE,AR_VOLTAGE_AT_DEPLOY,AR_RELEASE_CODE,Temp Logger serial,STEVES_ARBITRARY_LOCATION_CODES,DEPLOYED_BY (Lead Technicians),Recovered By,COMMENTS_DEPLOYMENT,COMMENTS_RECOVERY,,,
1,Oahu - Power Plant,,8/12/11 0:00,11/28/12 0:00,,1,21,20.978,-158,8.963,,102202,,,,,,11,,,Reconstructed from Receiver Logs. Possition is approximate and deployment recovery dates are estimates,,,,
1,Oahu - Waianae,,8/12/11 0:00,11/30/12 0:00,,1,21,25.101,-158,12.526,,102201,,,,,,12,,,Reconstructed from Receiver Logs. Possition is approximate and deployment recovery dates are estimates,,,,
1,Oahu - Kaena Pocket,,8/16/11 0:00,11/29/12 0:00,,1,21,32.867,-158,16.366,,102200,,,,,,13,,,Reconstructed from Receiver Logs. Possition is approximate and deployment recovery dates are estimates,,,,
1,Oahu - Barber's Flats,,9/18/11 0:00,11/29/12 0:00,,1,21,14.242,-158,1.608,343,103910,,,,,,9,,,Reconstructed from Receiver Logs. Possition is approximate and deployment recovery dates are estimates,,,,
1,Oahu - Ko olina,,9/18/11 0:00,11/29/12 0:00,,1,21,15.888,-158,6.555,327.8,103909,,,,,,10,,,Reconstructed from Receiver Logs. Possition is approximate and deployment recovery dates are estimates,,,,
1,Cross 1,3,10/1/11 0:00,10/11/13 0:00,,1,18,43.257,-158,15.682,338,108467,272366-009,,,009-4,,201,Gray,,338m depth,18.72095,-158.2613667,,
1,Cross 10,3,10/1/11 0:00,10/11/13 0:00,,1,18,43.786,-158,15.544,380,110305,258477-006,,,005-1,,210,Gray,,380m depth,18.72976667,-158.2590667,,
1,Cross 11,1,10/1/11 0:00,10/11/13 0:00,,1,18,42.528,-158,16.943,376,104541,258477-003,,,002-1,,211,Gray,,376m depth,18.7088,-158.2823833,,
1,Cross 4,3,10/1/11 0:00,10/11/13 0:00,,1,18,43.187,-158,14.66,,104543,258477-004,,,004-1,,204,Gray,,,18.71978333,-158.2443333,,
1,Cross 6,3,10/1/11 0:00,10/11/13 0:00,,1,18,42.223,-158,15.88,,104545,258477-006,,,006-1,,206,Gray,,,18.70371667,-158.2646667,,
1,Oahu - Marine Corps Base,1,3/28/12 0:00,12/9/12 0:00,,1,21,30.409,-157,44.447,,102199,,,,,,5,,,Reconstructed from Receiver Logs. Possition is approximate and deployment recovery dates are estimates,,,,
1,Oahu - Diamond Head,,3/29/12 0:00,12/7/12 0:00,,1,21,13.891,-157,48.804,,102203,256240-008,,,008-3,,7,,,,,,,
1,Oahu - Haleiwa,2,3/29/12 0:00,10/8/13 0:00,,1,21,40.464,-158,11.566,330,103912,256240-002,12/7/13 0:00,,002-3,,1,ag cc,,"Yellow means old coordinates- AG wrote ""need coordinates for new stations"" on datasheet",,,,
1,Oahu - Kahuku,2,3/29/12 0:00,10/8/13 0:00,,1,21,46.667,-157,58.143,325,110315,256240-007,12/7/13 0:00,,007-3,,2,ag cc,,"Yellow means old coordinates- AG wrote ""need coordinates for new stations"" on datasheet",,,,
1,PB - Base Third Finger,1,4/4/12 0:00,3/17/13 0:00,,1,20,54.519,-157,34.749,200,110298,272366-005,4/4/13 0:00,,005-1,,104,,,,,,,
1,PB - Dropoff in BRFA,1,4/4/12 0:00,3/10/13 0:00,VRL MISSING!,0,0,0,0,0,0,110313,272366-003,4/4/13 0:00,,003-1,,101,,,,,,,
1,PB - First Finger,1,4/4/12 0:00,3/10/13 0:00,,1,21,0.171,-157,20.824,118,110308,272366-001,4/4/13 0:00,,001-1,,100,,,,,,,
1,PB - Pinnacle South,1,4/4/12 0:00,3/10/13 0:00,,1,20,57.308,-157,24.765,253,110314,272366-004,4/4/13 0:00,,004-1,,103,,,,,,,
1,PB - South Tip,1,4/4/12 0:00,3/17/13 0:00,,1,20,51.509,-157,44.101,290,110318,272366-006,4/4/13 0:00,,006-1,,105,,,,,,,
1,PB - The Mound,1,4/4/12 0:00,3/10/13 0:00,,1,20,59.363,-157,21.316,,110316,272366-002,4/4/13 0:00,,002-1,,102,,,,,,,
,Oahu - Makapuu South,1,8/26/12 0:00,3/23/13 10:30,,1,21,15.359,-157,34.126,377 m,110310,,,,,,,,,,,,,
1,Oahu - Makapuu in BRFA,1,9/1/12 0:00,3/23/13 0:00,,1,21,20.241,-157,35.447,338,110312,258477-004,,,008-2,,5,,,Double pinnacle,,,,
1,Oahu - Makapuu North,1,9/1/12 0:00,3/31/13 0:00,,1,21,26.34,-157,41.618,354,110317,272366-008,#VALUE!,,008-4,655562,4,,,"temp logger 5 ft above LRT release, 8 min interval.",,,,
1,Oahu - Barber's Flats,2,11/29/12 0:00,7/13/13 0:00,,1,21,14.248,-158,1.608,343,103910,256240-009,11/29/13 0:00,,003-9 (last said 009-3),,9,ag cc,,,,,,
1,Oahu - Kaena,2,11/29/12 0:00,11/7/13 0:00,,1,21,32.867,-158,16.366,320,102200,256240-005,11/29/13 0:00,,005-3,,13,ag cc,,,,,,
1,Oahu - Ko olina,2,11/29/12 0:00,11/7/13 0:00,,1,21,15.888,-158,6.555,327.8,103909,256240-003,11/29/13 0:00,,003-3,,10,ag cc,,,,,,
1,Oahu - Power Plant,2,11/29/12 0:00,11/7/13 0:00,,1,21,20.978,-158,8.963,320.6,102202,256240-001,11/29/13 0:00,,001-3,,11,ag cc,,,,,,
1,Oahu - Waianae,2,11/29/12 0:00,11/7/13 0:00,,1,21,25.101,-158,12.526,302.5,102201,256240-006,11/29/13 0:00,,006-3,,12,ag cc,,,,,,
1,Oahu - Marine Corps Base,2,12/7/12 0:00,10/8/13 0:00,,1,21,30.409,-157,44.447,313,104546,256240-004,12/7/13 0:00,,004-3,,3,ag cc,,"Yellow means old coordinates- AG wrote ""need coordinates for new stations"" on datasheet",,,,
1,Range Test - Dec 2012 - Diamondhead 30m,1,12/7/12 0:00,12/24/12 0:00,,1,21,14.317,-157,49.175,,110243,,,,,,7,,,,,,,
