"","Receiver Height (m)","Transmitter Height (m)","Tide Direction","Diurnal Period","Average Maximum Detection Radius (m)","CPDI Extent From GAM (m)","CPDI Prediction from Model (m)"
"1","30","15","In","Day","843, 843, 843.5, 844, 844","276, 276, 276.5, 277, 277","326"
"2","30","15","Out","Day","843, 843, 843.5, 844, 844","276, 276, 276.5, 277, 277","326"
"3","30","1","In","Day","846, 846, 846, 846, 846","276, 276, 276.5, 277, 277","301"
"4","30","1","Out","Day","846, 846, 846, 846, 846","276, 276, 276.5, 277, 277","301"
"5","1","15","In","Day","840, 840, 840, 840, 840","276, 276, 276.5, 277, 277","279"
"6","1","15","Out","Day","840, 840, 840, 840, 840","276, 276, 276.5, 277, 277","279"
"7","1","1","In","Day","842, 842, 842, 842.5, 843","276, 276, 276.5, 277, 277","259"
"8","1","1","Out","Day","842, 842, 842, 842.5, 843","276, 276, 276.5, 277, 277","259"
"9","30","15","In","Night","844, 844, 844, 844, 844","276, 276, 276.5, 277, 277","326"
"10","30","15","Out","Night","844, 844, 844, 844, 844","276, 276, 276.5, 277, 277","326"
"11","30","1","In","Night","846, 846, 846, 846, 846","276, 276, 276.5, 277, 277","301"
"12","30","1","Out","Night","846, 846, 846, 846, 846","276, 276, 276.5, 277, 277","301"
"13","1","15","In","Night","840, 840, 840, 840, 840","276, 276, 276.5, 277, 277","279"
"14","1","15","Out","Night","840, 840, 840, 840, 840","276, 276, 276.5, 277, 277","279"
"15","1","1","In","Night","842, 842.5, 843, 843, 843","276, 276, 276.5, 277, 277","259"
"16","1","1","Out","Night","842, 842.5, 843, 843, 843","276, 276, 276.5, 277, 277","259"
