"","Receiver Height (m)","Tide Direction","Time of Day","Average Maximum Detection Radius (m)","CPDI Extent From GAM","CPDI Prediction from Model"
"1","7.5","in","day","283, 283, 283, 283, 283","0, 0, 0, 0, 0","0"
"2","7.5","out","day","283, 283, 283, 283, 283","0, 0, 0, 0, 0","0"
"3","15","in","day","284, 284, 284, 284, 284","0, 0, 0, 0, 0","0"
"4","15","out","day","284, 284, 284, 284, 284","0, 0, 0, 0, 0","0"
"5","1","in","day","290, 290, 290, 290, 290","0, 0, 0, 0, 0","0"
"6","1","out","day","290, 290, 290, 290, 290","0, 0, 0, 0, 0","0"
"7","7.5","in","night","278, 278, 278, 278, 278","0, 0, 0, 0, 0","0"
"8","7.5","out","night","278, 278, 278, 278, 278","0, 0, 0, 0, 0","0"
"9","15","in","night","278, 278, 278.5, 279, 279","0, 0, 0, 0, 0","0"
"10","15","out","night","278, 278, 278.5, 279, 279","0, 0, 0, 0, 0","0"
"11","1","in","night","285, 285, 285, 285, 285","0, 0, 0, 0, 0","0"
"12","1","out","night","285, 285, 285, 285, 285","0, 0, 0, 0, 0","0"
